image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
sstk_image_1265101195,3:4,101,101,101,30,30,5,minimal_crop,0.018444329500198364
sstk_image_1265101195,4:3,115,115,115,30,30,5,crop,2.6292800517942267
sstk_image_1924508120,1:1,74,74,74,30,30,5,crop,2.9290755533352675
sstk_image_1924508120,9:16,42,42,42,30,30,5,crop,4.793729305714267
sstk_image_1924508120,16:9,128,128,128,30,30,5,minimal_crop,0.014972895383834839
sstk_image_1924508120,3:4,51,51,51,30,30,5,crop,3.675064184151969
sstk_image_1924508120,4:3,80,80,80,30,30,5,minimal_crop,0.015236014127731456
sstk_image_1975122242,1:1,103,103,103,30,30,5,crop,3.5573421376411054
sstk_image_1975122242,9:16,53,53,53,30,30,5,crop,6.100025687983981
sstk_image_1975122242,16:9,125,125,125,30,30,5,crop,1.64362011242777
sstk_image_1975122242,3:4,55,55,55,30,30,5,crop,4.663016295287443
sstk_image_1975122242,4:3,136,136,136,30,30,5,crop,1.0722074995576292
pond5_image_123257905,1:1,124,124,124,30,30,5,minimal_crop,0.0
pond5_image_123257905,9:16,57,57,57,30,30,5,crop,1.5735909267782207
pond5_image_123257905,16:9,128,128,128,31,31,5,minimal_crop,0.0
pond5_image_123257905,3:4,92,92,92,30,30,5,crop,2.1000602233283923
pond5_image_123257905,4:3,173,173,173,31,31,5,minimal_crop,0.0
sstk_image_1336721579,1:1,108,108,108,30,30,5,minimal_crop,0.003550639748573392
sstk_image_1336721579,9:16,55,55,55,30,30,5,crop,5.60335521241299
sstk_image_1336721579,16:9,133,133,133,30,30,5,minimal_crop,0.0017742660524184828
sstk_image_1336721579,3:4,58,58,58,30,30,5,crop,2.5084817508852666
sstk_image_1336721579,4:3,142,142,142,31,31,5,minimal_crop,0.0
sstk_image_1773382634,1:1,131,131,131,31,31,5,crop,2.5346202923343206
sstk_image_1773382634,9:16,79,79,79,30,30,5,crop,4.9111224590585
sstk_image_1773382634,16:9,142,142,142,31,31,5,minimal_crop,0.0
sstk_image_1773382634,3:4,81,81,81,31,31,5,crop,3.7659111120659983
sstk_image_1773382634,4:3,155,155,155,31,31,5,minimal_crop,0.0
sstk_image_1117246433,1:1,132,132,132,30,30,5,crop,2.2081053009151406
sstk_image_1117246433,9:16,70,70,70,30,30,5,crop,3.9072797921076567
sstk_image_1117246433,16:9,136,136,136,30,30,5,minimal_crop,0.005460560321807861
sstk_image_1117246433,3:4,76,76,76,30,30,5,crop,2.947965167454461
sstk_image_1117246433,4:3,157,157,157,30,30,5,crop,1.0509884486649574
pond5_image_132477160,1:1,119,119,119,30,30,5,minimal_crop,0.0
pond5_image_132477160,9:16,57,57,57,30,30,5,minimal_crop,0.0
pond5_image_132477160,16:9,165,165,165,30,30,5,minimal_crop,0.0
pond5_image_132477160,3:4,57,57,57,30,30,5,minimal_crop,0.0
pond5_image_132477160,4:3,146,146,146,30,30,5,minimal_crop,0.0
bigstock_image_315746869,1:1,120,120,120,30,30,5,crop,0.7721717320006318
bigstock_image_315746869,9:16,54,54,54,30,30,5,crop,1.3881734271197352
bigstock_image_315746869,16:9,159,159,159,30,30,5,minimal_crop,0.0006990849971770796
bigstock_image_315746869,3:4,59,59,59,30,30,5,crop,1.0534505327040904
bigstock_image_315746869,4:3,144,144,144,30,30,5,crop,0.5810162720463456
sstk_image_2051599370,1:1,132,132,132,30,30,5,crop,1.6618664093218798
sstk_image_2051599370,9:16,71,71,71,30,30,5,crop,9.531516450421254
sstk_image_2051599370,16:9,120,120,120,31,31,5,crop,4.259604218734426
sstk_image_2051599370,3:4,101,101,101,30,30,5,crop,5.114705060482791
sstk_image_2051599370,4:3,142,142,142,30,30,5,crop,1.0246079485616855
sstk_image_1208409016,1:1,125,125,125,30,30,5,minimal_crop,0.0
sstk_image_1208409016,9:16,58,58,58,30,30,5,crop,0.18308680550996748
sstk_image_1208409016,16:9,157,157,157,30,30,5,minimal_crop,0.0
sstk_image_1208409016,3:4,65,65,65,30,30,5,minimal_crop,0.0
sstk_image_1208409016,4:3,160,160,160,30,30,5,minimal_crop,0.0
pond5_image_96295050,1:1,127,127,127,31,31,5,crop,3.13440752092385
pond5_image_96295050,9:16,71,71,71,30,30,5,crop,4.590754713914593
pond5_image_96295050,16:9,152,152,152,31,31,5,minimal_crop,0.0
pond5_image_96295050,3:4,73,73,73,30,30,5,crop,3.502522603994371
