image_id,target_ar,selected_k,top1_final,mean_final
bigstock_image_356738510,4:3,5,-1.883942,-3.0216448
bigstock_image_356738510,9:16,5,-15.104829,-17.8015264
bigstock_image_366172231,16:9,5,-0.384978,-5.8475172
bigstock_image_366172231,1:1,5,-2.549843,-5.9924536
bigstock_image_366172231,3:4,5,-3.1981,-8.638110000000001
bigstock_image_366172231,4:3,5,-0.398459,-4.7288492
bigstock_image_366172231,9:16,5,-6.80009,-11.525447400000001
bigstock_image_367294303,16:9,5,-21.581589,-30.5886966
bigstock_image_367294303,1:1,5,-9.307024,-10.0961796
bigstock_image_367294303,3:4,5,-0.973766,-4.041289000000001
bigstock_image_367294303,4:3,1,-21.21056,-21.21056
bigstock_image_367294303,9:16,3,-2.216787,-2.7698156666666667
bigstock_image_369097984,16:9,5,1.041093,1.009943
bigstock_image_369097984,1:1,5,1.059094,1.023158
bigstock_image_369097984,3:4,5,1.009869,0.13589060000000003
bigstock_image_369097984,4:3,5,1.05806,1.0129164
bigstock_image_369097984,9:16,5,0.957201,0.46276600000000007
bigstock_image_373319728,16:9,5,-12.155471,-19.6604946
bigstock_image_373319728,1:1,5,-3.437094,-5.7513536
bigstock_image_373319728,3:4,5,-0.79371,-1.4055574
bigstock_image_373319728,4:3,5,-7.217736,-7.8155361999999995
bigstock_image_373319728,9:16,5,-2.474084,-4.438781199999999
bigstock_image_378140140,16:9,5,-9.701937,-13.958234999999998
bigstock_image_378140140,1:1,5,-2.070727,-10.935589400000001
bigstock_image_378140140,3:4,5,-0.793682,-1.3297231999999999
bigstock_image_378140140,4:3,5,-5.360272,-15.7764802
bigstock_image_378140140,9:16,5,-2.431881,-4.455929800000001
bigstock_image_393470339,16:9,5,-0.857129,-1.7384533999999998
bigstock_image_393470339,1:1,5,-3.686627,-4.1740502
bigstock_image_393470339,3:4,5,-8.923045,-11.625244200000001
bigstock_image_393470339,4:3,5,-0.835812,-1.3887
bigstock_image_393470339,9:16,5,-18.656154,-23.9192876
bigstock_image_41357797,16:9,5,-0.81633,-3.3501252
bigstock_image_41357797,1:1,5,-6.546686,-9.5486702
bigstock_image_41357797,3:4,5,-11.282815,-15.018339000000001
bigstock_image_41357797,4:3,5,-2.972851,-7.143943200000001
bigstock_image_41357797,9:16,5,-17.508045,-23.3816226
bigstock_image_415334332,16:9,5,-2.488758,-2.9087354000000003
bigstock_image_415334332,1:1,5,-5.194231,-7.5248492
bigstock_image_415334332,3:4,5,-9.470571,-12.2192036
bigstock_image_415334332,4:3,5,-1.932711,-3.5729628
bigstock_image_415334332,9:16,5,-15.15823,-19.0732712
bigstock_image_41744830,16:9,5,-0.838788,-2.2229692
bigstock_image_41744830,1:1,5,-3.005906,-9.6237206
bigstock_image_41744830,3:4,5,-6.655177,-10.2541636
bigstock_image_41744830,4:3,5,-0.851044,-6.079121600000001
bigstock_image_41744830,9:16,5,-11.360872,-15.394201
bigstock_image_420463162,16:9,5,-8.003096,-15.6165986
bigstock_image_420463162,1:1,5,-7.382625,-11.4713744
bigstock_image_420463162,3:4,5,-11.937498,-16.7329304
bigstock_image_420463162,4:3,5,-5.311344,-8.433106
bigstock_image_420463162,9:16,5,-19.735282,-22.597095799999998
bigstock_image_427310582,16:9,5,-6.923524,-10.2398416
bigstock_image_427310582,1:1,5,-0.449083,-2.7677752
bigstock_image_427310582,3:4,5,1.072485,0.497724
bigstock_image_427310582,4:3,5,-3.239,-5.4665552
bigstock_image_427310582,9:16,5,1.046659,0.292622
bigstock_image_440504006,16:9,1,-1.560183,-1.560183
bigstock_image_440504006,1:1,5,-1.15332,-1.8280058000000001
bigstock_image_440504006,3:4,5,-1.185306,-1.743628
bigstock_image_440504006,4:3,5,-1.26951,-1.2766819999999999
bigstock_image_440504006,9:16,5,-8.644135,-14.7561736
bigstock_image_441562499,16:9,5,-28.557024,-35.421905800000005
bigstock_image_441562499,1:1,1,-6.260125,-6.260125
bigstock_image_441562499,3:4,5,-0.42448,-3.3082772
bigstock_image_441562499,4:3,5,-17.21126,-24.2148074
bigstock_image_441562499,9:16,5,1.068306,1.0582654
bigstock_image_446466827,16:9,5,-4.281636,-8.366843
bigstock_image_446466827,1:1,5,-1.381908,-2.0029526
bigstock_image_446466827,3:4,5,-1.121177,-1.1502972
bigstock_image_446466827,4:3,5,-1.109912,-1.576336
bigstock_image_446466827,9:16,5,-1.15553,-3.2526859999999997
bigstock_image_456907741,16:9,5,-0.847702,-1.0091848
bigstock_image_456907741,1:1,5,-0.891355,-3.2343927999999997
